procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 1059668 83188 1911136   0    0     0    44 3468 4960  2  2 96  0  0  0
 0  0      0 1059668 83192 1911140   0    0     0    68 3576 5367  3  4 94  0  0  0
 0  0      0 1059668 83192 1911140   0    0     0     0 3039 4035  2  1 97  0  0  0
 1  0      0 1059668 83192 1911140   0    0     0    84 4159 6754  4  4 92  0  0  0
 0  0      0 1059668 83192 1911140   0    0     0     0 3095 4757  3  2 95  0  0  0
 0  0      0 1059668 83192 1911140   0    0     0    28 3043 4713  2  1 97  0  0  0
 0  0      0 1059668 83196 1911136   0    0     0    20 3235 4603  3  2 95  0  0  0
 0  0      0 1059668 83204 1911148   0    0     0    48 3239 4918  2  2 96  0  0  0
 0  0      0 1059164 83204 1911148   0    0     0    36 3578 5429  3  2 95  0  0  0
 0  0      0 1059164 83204 1911148   0    0     0    24 3761 6018  4  3 93  0  0  0
 0  0      0 1059164 83204 1911148   0    0     0     0 3136 4459  2  2 97  0  0  0
 0  0      0 1059164 83208 1911152   0    0     0    68 3514 5158  4  2 94  0  0  0
 0  0      0 1058660 83208 1911152   0    0     0     8 3235 4319  3  3 95  0  0  0
 0  0      0 1056644 83208 1911152   0    0     0    64 4152 6496  5  4 91  0  0  0
 0  0      0 1056644 83208 1911152   0    0     0     0 3487 4971  3  2 95  0  0  0
 0  0      0 1056644 83216 1911156   0    0     0    48 3111 4240  3  2 95  0  0  0
 0  0      0 1056644 83216 1911156   0    0     0     0 3030 4131  3  2 96  0  0  0
 0  0      0 1056644 83216 1911160   0    0     0    28 3090 4670  3  1 96  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1056644 83216 1911160   0    0     0    24 3073 4228  3  2 95  0  0  0
 0  0      0 1056644 83216 1911160   0    0     0    52 3972 6581  4  2 94  0  0  0
 0  0      0 1056644 83220 1911156   0    0     0    32 2938 4458  3  1 96  0  0  0
 4  0      0 1056644 83232 1911160   0    0     0   128 3708 5795  4  2 94  0  0  0
 0  0      0 1056644 83232 1911168   0    0     0     0 3248 5133  3  2 95  0  0  0
 0  0      0 1056644 83236 1911168   0    0     0    92 4035 6315  5  4 91  0  0  0
 0  0      0 1056644 83236 1911172   0    0     0     4 3624 5478  3  2 95  0  0  0
 0  0      0 1056644 83236 1911172   0    0     0    48 3604 5078  5  3 93  0  0  0
 0  0      0 1056644 83236 1911172   0    0     0     0 3275 4526  4  1 95  0  0  0
 0  0      0 1056644 83236 1911172   0    0     0    24 3434 5179  2  2 96  0  0  0
 0  0      0 1056644 83244 1911164   0    0     0    36 3337 4833  4  3 93  0  0  0
 0  0      0 1056644 83248 1911176   0    0     0    76 3720 6170  4  2 93  1  0  0
 0  0      0 1056644 83248 1911176   0    0     0     8 3197 4399  2  2 96  0  0  0
 0  0      0 1056644 83248 1911176   0    0     0    52 3238 4789  3  2 96  0  0  0
 0  0      0 1056644 83248 1911176   0    0     0     0 3444 5594  3  4 93  0  0  0
 0  0      0 1056404 83252 1911180   0    0     0    84 4128 6377  4  4 93  0  0  0
 1  0      0 1056404 83252 1911180   0    0     0     8 3414 6083  3  2 95  0  0  0
 0  0      0 1056404 83252 1911180   0    0     0    28 3390 4947  2  2 96  0  0  0
 0  0      0 1056404 83252 1911180   0    0     0     4 3370 6014  3  3 95  0  0  0
 0  0      0 1056404 83252 1911184   0    0     0    24 3278 5186  2  2 97  0  0  0
 0  0      0 1056404 83256 1911180   0    0     0    32 3430 4668  3  3 94  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 1056404 83256 1911192   0    0     0    76 3849 6171  5  2 93  0  0  0
 0  0      0 1056404 83256 1911192   0    0     0     0 3177 4588  2  2 96  0  0  0
 4  0      0 1056404 83264 1911188   0    0     0    80 3578 5428  3  3 94  0  0  0
 0  0      0 1056404 83264 1911196   0    0     0    16 3260 4905  2  1 97  0  0  0
 1  0      0 1056404 83264 1911196   0    0     0    64 3931 7399  3  4 92  0  0  0
 1  0      0 1056404 83264 1911196   0    0     0     0 3253 4780  3  2 95  0  0  0
 0  0      0 1056404 83264 1911196   0    0     0    28 3319 4885  2  1 97  0  0  0
 1  0      0 1056404 83264 1911196   0    0     0     0 3385 5248  2  1 97  0  0  0
 0  0      0 1056404 83276 1911200   0    0     0    80 3255 4935  3  2 95  0  0  0
 0  0      0 1056404 83276 1911200   0    0     0    20 3494 5799  3  2 95  0  0  0
 0  0      0 1056404 83276 1911200   0    0     0    52 4212 7368  6  4 90  0  0  0
